
Id,Region,Time_GMT,Wday,O3,PM25,NO2,Place_ID
1,1,0,1,52,124,49,s1
2,1,1,1,53,124,50,s1
3,1,2,1,54,124,51,s1
4,1,3,1,72,123,52,s1
5,1,4,1,81,131,53,s1
6,1,5,1,81,130,54,s1
7,1,6,1,80,159,65,s1
8,1,7,1,88,155,68,s1
9,1,8,1,99,184,79,s1
10,1,9,1,98,184,79,s1
11,1,10,1,98,184,79,s1
12,1,11,1,97,175,78,s1
13,1,12,1,97,175,78,s1
14,1,13,1,97,169,78,s1
15,1,14,1,96,169,78,s1
16,1,15,1,96,162,78,s1
17,1,16,1,65,162,70,s1
18,1,17,1,65,159,69,s1
19,1,18,1,54,126,59,s1
20,1,19,1,54,126,58,s1
21,1,20,1,53,126,57,s1
22,1,21,1,52,125,56,s1
23,1,22,1,51,125,53,s1
24,1,23,1,50,124,52,s1
25,1,0,0,52,132,49,s1
26,1,1,0,52,137,48,s1
27,1,2,0,51,137,50,s1
28,1,3,0,60,135,60,s1
29,1,4,0,71,132,61,s1
30,1,5,0,81,142,62,s1
31,1,6,0,81,142,65,s1
32,1,7,0,80,169,69,s1
33,1,8,0,97,169,78,s1
34,1,9,0,97,162,78,s1
35,1,10,0,96,162,77,s1
36,1,11,0,96,159,77,s1
37,1,12,0,54,159,77,s1
38,1,13,0,88,155,77,s1
39,1,14,0,72,155,77,s1
40,1,15,0,65,155,77,s1
41,1,16,0,68,155,70,s1
42,1,17,0,71,153,69,s1
43,1,18,0,65,153,59,s1
44,1,19,0,61,149,58,s1
45,1,20,0,54,144,57,s1
46,1,21,0,54,131,53,s1
47,1,22,0,51,131,51,s1
48,1,23,0,54,130,50,s1
49,1,0,1,51,135,58,s2
50,1,1,1,54,135,57,s2
51,1,2,1,55,134,56,s2
52,1,3,1,57,134,53,s2
53,1,4,1,58,133,52,s2
54,1,5,1,54,131,68,s2
55,1,6,1,88,131,70,s2
56,1,7,1,72,131,69,s2
57,1,8,1,96,130,77,s2
58,1,9,1,95,184,77,s2
59,1,10,1,72,175,76,s2
60,1,11,1,75,175,76,s2
61,1,12,1,95,169,75,s2
62,1,13,1,95,169,75,s2
63,1,14,1,94,162,75,s2
64,1,15,1,94,159,75,s2
65,1,16,1,81,155,60,s2
66,1,17,1,81,154,61,s2
67,1,18,1,80,141,62,s2
68,1,19,1,71,141,65,s2
69,1,20,1,65,137,69,s2
70,1,21,1,61,137,53,s2
71,1,22,1,54,136,52,s2
72,1,23,1,54,136,50,s2
73,1,0,0,50,141,50,s2
74,1,1,0,51,141,60,s2
75,1,2,0,54,137,61,s2
76,1,3,0,54,137,62,s2
77,1,4,0,56,136,65,s2
78,1,5,0,80,136,69,s2
79,1,6,0,79,184,60,s2
80,1,7,0,0,184,70,s2
81,1,8,0,99,175,75,s2
82,1,9,0,98,175,75,s2
83,1,10,0,98,169,75,s2
84,1,11,0,97,169,75,s2
85,1,12,0,52,153,75,s2
86,1,13,0,88,153,75,s2
87,1,14,0,87,149,74,s2
88,1,15,0,85,144,74,s2
89,1,16,0,65,144,61,s2
90,1,17,0,55,114,62,s2
91,1,18,0,52,114,65,s2
92,1,19,0,51,113,69,s2
93,1,20,0,51,113,53,s2
94,1,21,0,53,112,52,s2
95,1,22,0,50,112,50,s2
96,1,23,0,50,111,49,s2
97,1,0,1,52,124,49,s3
98,1,1,1,53,124,50,s3
99,1,2,1,54,124,51,s3
100,1,3,1,72,123,52,s3
101,1,4,1,81,131,53,s3
102,1,5,1,81,130,54,s3
103,1,6,1,80,159,65,s3
104,1,7,1,88,155,68,s3
105,1,8,1,99,184,79,s3
106,1,9,1,98,184,79,s3
107,1,10,1,98,184,79,s3
108,1,11,1,97,175,78,s3
109,1,12,1,97,175,78,s3
110,1,13,1,97,169,78,s3
111,1,14,1,96,169,78,s3
112,1,15,1,96,162,78,s3
113,1,16,1,65,162,70,s3
114,1,17,1,65,159,69,s3
115,1,18,1,54,126,59,s3
116,1,19,1,54,126,58,s3
117,1,20,1,53,126,57,s3
118,1,21,1,52,125,56,s3
119,1,22,1,51,125,53,s3
120,1,23,1,50,124,52,s3
121,1,0,0,52,141,49,s3
122,1,1,0,52,137,50,s3
123,1,2,0,51,137,50,s3
124,1,3,0,60,135,60,s3
125,1,4,0,71,144,61,s3
126,1,5,0,81,142,62,s3
127,1,6,0,81,142,65,s3
128,1,7,0,80,169,69,s3
129,1,8,0,97,169,78,s3
130,1,9,0,97,162,78,s3
131,1,10,0,96,162,77,s3
132,1,11,0,96,159,77,s3
133,1,12,0,54,159,77,s3
134,1,13,0,88,155,77,s3
135,1,14,0,72,155,77,s3
136,1,15,0,65,155,77,s3
137,1,16,0,68,155,70,s3
138,1,17,0,71,153,69,s3
139,1,18,0,65,153,59,s3
140,1,19,0,61,149,58,s3
141,1,20,0,54,144,57,s3
142,1,21,0,54,131,53,s3
143,1,22,0,51,131,51,s3
144,1,23,0,54,130,50,s3
145,1,0,1,51,135,58,s4
146,1,1,1,54,135,57,s4
147,1,2,1,55,134,56,s4
148,1,3,1,57,134,53,s4
149,1,4,1,58,133,52,s4
150,1,5,1,54,131,68,s4
151,1,6,1,88,131,70,s4
152,1,7,1,72,131,69,s4
153,1,8,1,96,130,77,s4
154,1,9,1,95,184,77,s4
155,1,10,1,72,175,76,s4
156,1,11,1,75,175,76,s4
157,1,12,1,95,169,75,s4
158,1,13,1,95,169,75,s4
159,1,14,1,94,162,75,s4
160,1,15,1,94,159,75,s4
161,1,16,1,81,155,60,s4
162,1,17,1,81,154,61,s4
163,1,18,1,80,141,62,s4
164,1,19,1,71,141,65,s4
165,1,20,1,65,137,69,s4
166,1,21,1,61,137,53,s4
167,1,22,1,54,136,52,s4
168,1,23,1,54,136,50,s4
169,1,0,0,50,141,50,s4
170,1,1,0,51,141,60,s4
171,1,2,0,54,137,61,s4
172,1,3,0,54,137,62,s4
173,1,4,0,55,136,65,s4
174,1,5,0,80,136,69,s4
175,1,6,0,79,184,60,s4
176,1,7,0,80,184,70,s4
177,1,8,0,99,175,75,s4
178,1,9,0,98,175,75,s4
179,1,10,0,98,169,75,s4
180,1,11,0,97,169,75,s4
181,1,12,0,52,153,75,s4
182,1,13,0,88,153,75,s4
183,1,14,0,87,149,74,s4
184,1,15,0,85,144,74,s4
185,1,16,0,65,144,61,s4
186,1,17,0,55,114,62,s4
187,1,18,0,52,114,65,s4
188,1,19,0,51,113,69,s4
189,1,20,0,51,113,53,s4
190,1,21,0,53,112,52,s4
191,1,22,0,50,112,50,s4
192,1,23,0,50,111,49,s4
193,1,0,1,52,124,50,s5
194,1,1,1,53,124,51,s5
195,1,2,1,54,124,52,s5
196,1,3,1,72,123,53,s5
197,1,4,1,81,131,54,s5
198,1,5,1,81,130,65,s5
199,1,6,1,80,159,68,s5
200,1,7,1,88,155,79,s5
201,1,8,1,99,184,79,s5
202,1,9,1,98,184,79,s5
203,1,10,1,98,184,78,s5
204,1,11,1,97,175,78,s5
205,1,12,1,97,175,78,s5
206,1,13,1,97,169,78,s5
207,1,14,1,96,169,78,s5
208,1,15,1,96,162,70,s5
209,1,16,1,65,162,69,s5
210,1,17,1,65,159,59,s5
211,1,18,1,54,126,58,s5
212,1,19,1,54,126,57,s5
213,1,20,1,53,126,56,s5
214,1,21,1,52,125,53,s5
215,1,22,1,51,125,52,s5
216,1,23,1,50,124,55,s5
217,1,0,0,52,141,49,s5
218,1,1,0,52,137,49,s5
219,1,2,0,51,137,50,s5
220,1,3,0,60,135,60,s5
221,1,4,0,71,144,61,s5
222,1,5,0,81,142,62,s5
223,1,6,0,81,142,65,s5
224,1,7,0,80,169,69,s5
225,1,8,0,97,169,78,s5
226,1,9,0,97,162,78,s5
227,1,10,0,96,162,77,s5
228,1,11,0,96,159,77,s5
229,1,12,0,54,159,77,s5
230,1,13,0,88,155,77,s5
231,1,14,0,72,155,77,s5
232,1,15,0,65,155,77,s5
233,1,16,0,68,155,70,s5
234,1,17,0,71,153,69,s5
235,1,18,0,65,153,59,s5
236,1,19,0,61,149,58,s5
237,1,20,0,54,144,57,s5
238,1,21,0,54,131,53,s5
239,1,22,0,51,131,51,s5
240,1,23,0,54,130,50,s5
241,1,0,1,51,135,58,s6
242,1,1,1,54,135,57,s6
243,1,2,1,55,134,56,s6
244,1,3,1,57,134,53,s6
245,1,4,1,58,133,52,s6
246,1,5,1,54,131,68,s6
247,1,6,1,88,131,70,s6
248,1,7,1,72,131,69,s6
249,1,8,1,96,130,77,s6
250,1,9,1,95,184,77,s6
251,1,10,1,72,175,76,s6
252,1,11,1,75,175,76,s6
253,1,12,1,95,169,75,s6
254,1,13,1,95,169,75,s6
255,1,14,1,94,162,75,s6
256,1,15,1,94,159,75,s6
257,1,16,1,81,155,60,s6
258,1,17,1,81,154,61,s6
259,1,18,1,80,141,62,s6
260,1,19,1,71,141,65,s6
261,1,20,1,65,137,69,s6
262,1,21,1,61,137,53,s6
263,1,22,1,54,136,52,s6
264,1,23,1,54,136,50,s6
265,1,0,0,50,141,50,s6
266,1,1,0,51,141,60,s6
267,1,2,0,54,137,61,s6
268,1,3,0,54,137,62,s6
269,1,4,0,55,136,65,s6
270,1,5,0,80,136,69,s6
271,1,6,0,79,184,60,s6
272,1,7,0,81,184,70,s6
273,1,8,0,99,175,75,s6
274,1,9,0,98,175,75,s6
275,1,10,0,98,169,75,s6
276,1,11,0,97,169,75,s6
277,1,12,0,52,153,75,s6
278,1,13,0,88,153,75,s6
279,1,14,0,87,149,74,s6
280,1,15,0,85,144,74,s6
281,1,16,0,65,144,61,s6
282,1,17,0,55,114,62,s6
283,1,18,0,52,114,65,s6
284,1,19,0,51,113,69,s6
285,1,20,0,51,113,53,s6
286,1,21,0,53,112,52,s6
287,1,22,0,50,112,50,s6
288,1,23,0,50,111,49,s6
289,1,0,1,52,124,49,s7
290,1,1,1,53,124,50,s7
291,1,2,1,54,124,51,s7
292,1,3,1,72,123,52,s7
293,1,4,1,81,131,53,s7
294,1,5,1,81,130,54,s7
295,1,6,1,80,159,65,s7
296,1,7,1,88,155,68,s7
297,1,8,1,99,184,79,s7
298,1,9,1,98,184,79,s7
299,1,10,1,98,184,79,s7
300,1,11,1,97,175,78,s7
301,1,12,1,97,175,78,s7
302,1,13,1,97,169,78,s7
303,1,14,1,96,169,78,s7
304,1,15,1,96,162,78,s7
305,1,16,1,65,162,70,s7
306,1,17,1,65,159,69,s7
307,1,18,1,54,126,59,s7
308,1,19,1,54,126,58,s7
309,1,20,1,53,126,57,s7
310,1,21,1,52,125,56,s7
311,1,22,1,51,125,53,s7
312,1,23,1,50,124,52,s7
313,1,0,0,52,141,49,s7
314,1,1,0,52,137,51,s7
315,1,2,0,51,137,50,s7
316,1,3,0,60,135,60,s7
317,1,4,0,71,144,61,s7
318,1,5,0,81,142,62,s7
319,1,6,0,81,142,65,s7
320,1,7,0,80,169,69,s7
321,1,8,0,97,169,78,s7
322,1,9,0,97,162,78,s7
323,1,10,0,96,162,77,s7
324,1,11,0,96,159,77,s7
325,1,12,0,54,159,77,s7
326,1,13,0,88,155,77,s7
327,1,14,0,72,155,77,s7
328,1,15,0,65,155,77,s7
329,1,16,0,68,155,70,s7
330,1,17,0,71,153,69,s7
331,1,18,0,65,153,59,s7
332,1,19,0,61,149,58,s7
333,1,20,0,54,144,57,s7
334,1,21,0,54,131,53,s7
335,1,22,0,51,131,51,s7
336,1,23,0,54,130,50,s7
337,1,0,1,51,135,58,s8
338,1,1,1,54,135,57,s8
339,1,2,1,55,134,56,s8
340,1,3,1,57,134,53,s8
341,1,4,1,58,133,52,s8
342,1,5,1,54,131,68,s8
343,1,6,1,88,131,70,s8
344,1,7,1,72,131,69,s8
345,1,8,1,96,130,77,s8
346,1,9,1,95,184,77,s8
347,1,10,1,72,175,76,s8
348,1,11,1,75,175,76,s8
349,1,12,1,95,169,75,s8
350,1,13,1,95,169,75,s8
351,1,14,1,94,162,75,s8
352,1,15,1,94,159,75,s8
353,1,16,1,81,155,60,s8
354,1,17,1,81,154,61,s8
355,1,18,1,80,141,62,s8
356,1,19,1,71,141,65,s8
357,1,20,1,65,137,69,s8
358,1,21,1,61,137,53,s8
359,1,22,1,54,136,52,s8
360,1,23,1,54,136,50,s8
361,1,0,0,50,141,50,s8
362,1,1,0,51,141,60,s8
363,1,2,0,54,137,61,s8
364,1,3,0,54,137,62,s8
365,1,4,0,55,136,65,s8
366,1,5,0,80,136,69,s8
367,1,6,0,79,184,60,s8
368,1,7,0,81,184,70,s8
369,1,8,0,99,175,75,s8
370,1,9,0,98,175,75,s8
371,1,10,0,98,169,75,s8
372,1,11,0,97,169,75,s8
373,1,12,0,52,153,75,s8
374,1,13,0,88,153,75,s8
375,1,14,0,87,149,74,s8
376,1,15,0,85,144,74,s8
377,1,16,0,65,144,61,s8
378,1,17,0,55,114,62,s8
379,1,18,0,52,114,65,s8
380,1,19,0,51,113,69,s8
381,1,20,0,51,113,53,s8
382,1,21,0,53,112,52,s8
383,1,22,0,50,112,50,s8
384,1,23,0,50,111,49,s8
385,1,0,1,52,124,49,s9
386,1,1,1,53,124,50,s9
387,1,2,1,54,124,51,s9
388,1,3,1,72,123,52,s9
389,1,4,1,81,131,53,s9
390,1,5,1,81,130,54,s9
391,1,6,1,80,159,65,s9
392,1,7,1,88,155,68,s9
393,1,8,1,99,184,79,s9
394,1,9,1,98,184,79,s9
395,1,10,1,98,184,79,s9
396,1,11,1,97,175,78,s9
397,1,12,1,97,175,78,s9
398,1,13,1,97,169,78,s9
399,1,14,1,96,169,78,s9
400,1,15,1,96,162,78,s9
401,1,16,1,65,162,70,s9
402,1,17,1,65,159,69,s9
403,1,18,1,54,126,59,s9
404,1,19,1,54,126,58,s9
405,1,20,1,53,126,57,s9
406,1,21,1,52,125,56,s9
407,1,22,1,51,125,53,s9
408,1,23,1,50,124,52,s9
409,1,0,0,52,141,49,s9
410,1,1,0,52,137,51,s9
411,1,2,0,51,137,50,s9
412,1,3,0,60,135,60,s9
413,1,4,0,71,144,61,s9
414,1,5,0,81,142,62,s9
415,1,6,0,81,142,65,s9
