Region,Time_GMT,AQI,ROC,predicted_aqi,next_hour_aqi,AQI_level,classification
1,0,22.66524,8.42324,8.42324,31.08848,bad,0
1,1,31.08848,1,10.06798,41.15646,bad,0
1,2,32.08848,5.14871,5.14871,37.23719,bad,0
1,3,37.23719,-5.1427,-5.1427,32.09449,bad,0
1,4,32.09449,14.45169,14.45169,46.54618,bad,0
1,5,46.54618,22.86474,22.86474,69.41092,bad,0
1,6,69.41092,1.69322,1.69322,71.10414,bad,0
1,7,71.10414,-13.26583,-13.26583,57.83831,bad,0
1,8,57.83831,-18.01047,-18.01047,39.82784,bad,0
1,9,39.82784,-0.23289,8.85663,48.68447,bad,0
1,10,39.59495,-3.29683,-3.29683,36.29812,bad,0
1,11,36.29812,0.53085,0.53085,36.82897,bad,0
1,12,36.82897,-1.6128,-1.612853,35.216117,bad,0
1,13,35.21617,2.78357,1.503455,36.719625,bad,0
1,14,37.99974,-3.09348,-3.09348,34.90626,good,1
1,15,34.90626,-6.48998,-6.48998,28.41628,good,1
1,16,28.41628,-0.70243,-0.70243,27.71385,bad,0
1,17,27.71385,17.05739,17.05739,44.77124,good,1
1,18,44.77124,-16.43953,-16.43953,28.33171,good,1
1,19,28.33171,-3.31999,-3.31999,25.01172,good,1
1,20,25.01172,-1.46017,-1.46017,23.55155,good,1
1,21,23.55155,-0.19951,-0.19951,23.35204,good,1
1,22,23.35204,-0.45247,-0.45247,22.89957,good,1
1,23,22.89957,-0.23417,-0.23417,22.6654,bad,0
2,0,22.6654,9.14867,9.14867,31.81407,bad,0
2,1,31.81407,0.27441,10.06798,41.88205,bad,0
2,2,32.08848,5.14871,5.14871,37.23719,bad,0
2,3,37.23719,-5.1427,-5.1427,32.09449,bad,0
2,4,32.09449,14.45169,14.45169,46.54618,bad,0
2,5,46.54618,22.86474,22.86474,69.41092,bad,0
2,6,69.41092,1.69322,1.69322,71.10414,bad,0
2,7,71.10414,-13.26583,-13.26583,57.83831,bad,0
2,8,57.83831,-18.01047,-18.01047,39.82784,bad,0
2,9,39.82784,-0.23289,8.85663,48.68447,bad,0
2,10,39.59495,-3.29683,-3.29683,36.29812,bad,0
2,11,36.29812,0.53085,0.53085,36.82897,bad,0
2,12,36.82897,-1.612853,-1.612853,35.216117,bad,0
2,13,35.216117,2.783623,1.503455,36.719572,bad,0
2,14,37.99974,-3.09348,-3.09348,34.90626,good,1
2,15,34.90626,-6.48998,-6.48998,28.41628,good,1
2,16,28.41628,-0.70243,-0.70243,27.71385,bad,0
2,17,27.71385,17.05739,17.05739,44.77124,good,1
2,18,44.77124,-16.43953,-16.43953,28.33171,good,1
2,19,28.33171,-3.31999,-3.31999,25.01172,good,1
2,20,25.01172,-1.46017,-1.46017,23.55155,good,1
2,21,23.55155,-0.19951,-0.19951,23.35204,good,1
2,22,23.35204,-0.45247,-0.45247,22.89957,good,1
2,23,22.89957,6.55757,-0.23417,22.6654,bad,0
3,0,29.45714,10.06798,10.06798,39.52512,bad,0
3,1,39.52512,-7.54655,-7.54655,31.97857,bad,0
3,2,31.97857,3.52765,3.52765,35.50622,bad,0
3,3,35.50622,-5.28218,-5.28218,30.22404,bad,0
3,4,30.22404,15.31096,15.31096,45.535,bad,0
3,5,45.535,24.06738,24.06738,69.60238,bad,0
3,6,69.60238,-4.24727,-4.24727,65.35511,bad,0
3,7,65.35511,-7.78225,-7.78225,57.57286,bad,0
3,8,57.57286,-17.74502,-17.74502,39.82784,bad,0
3,9,39.82784,17.94615,8.85663,48.68447,bad,0
3,10,57.77399,-12.18607,-12.18607,45.58792,bad,0
3,11,45.58792,-2.96231,-2.96231,42.62561,bad,0
3,12,42.62561,-7.1861,-7.29777,35.32784,bad,0
3,13,35.43951,-3.57759,-3.57759,31.86192,good,1
3,14,31.86192,-4.99679,-6.48998,25.37194,good,1
3,15,26.86513,-0.11959,-0.11959,26.74554,good,1
3,16,26.74554,1.57366,1.57366,28.3192,bad,0
3,17,28.3192,7.62421,7.62421,35.94341,good,1
3,18,35.94341,-10.60073,-10.60073,25.34268,good,1
3,19,25.34268,-0.52004,-0.52004,24.82264,good,1
3,20,24.82264,4.03729,4.03729,28.85993,good,1
3,21,28.85993,-5.85128,-5.85128,23.00865,good,1
3,22,23.00865,0,-0.45247,22.55618,good,1
3,23,23.00865,6.44849,6.44849,29.45714,bad,0
4,0,29.45714,10.06798,10.06798,39.52512,bad,0
4,1,39.52512,-7.54655,-7.54655,31.97857,bad,0
