Id,Region,Time_GMT,Wday,O3,PM25,NO2,Place_ID
1,1,0,1,0,32,156,s1
2,1,1,1,9,41,156,s1
3,1,2,1,10,41,156,s1
4,1,3,1,12,41,156,s1
5,1,4,1,12,45,156,s1
6,1,5,1,12,45,156,s1
7,1,6,1,12,45,156,s1
8,1,7,1,12,45,156,s1
9,1,8,1,12,45,156,s1
10,1,9,1,12,45,156,s1
11,1,10,1,12,45,156,s1
12,1,11,1,12,45,156,s1
13,1,12,1,12,45,156,s1
14,1,13,1,12,45,156,s1
15,1,14,1,12,45,156,s1
16,1,15,1,12,45,156,s1
17,1,16,1,12,45,156,s1
18,1,17,1,12,45,156,s1
19,1,18,1,12,45,156,s1
20,1,19,1,12,45,156,s1
21,1,20,1,12,45,156,s1
22,1,21,1,12,45,156,s1
23,1,22,1,12,45,156,s1
24,1,23,1,12,45,156,s1
25,1,0,0,12,45,156,s1
26,1,1,0,12,45,156,s1
27,1,2,0,12,45,156,s1
28,1,3,0,12,45,156,s1
29,1,4,0,12,45,156,s1
30,1,5,0,12,45,156,s1
31,1,6,0,12,45,154,s1
32,1,7,0,12,45,154,s1
33,1,8,0,12,45,154,s1
34,1,9,0,12,45,154,s1
35,1,10,0,12,45,154,s1
36,1,11,0,12,52,154,s1
37,1,12,0,12,52,154,s1
38,1,13,0,12,52,154,s1
39,1,14,0,12,52,154,s1
40,1,15,0,12,52,154,s1
41,1,16,0,12,52,154,s1
42,1,17,0,12,52,154,s1
43,1,18,0,12,52,154,s1
44,1,19,0,12,52,154,s1
45,1,20,0,12,52,154,s1
46,1,21,0,12,52,154,s1
47,1,22,0,12,52,154,s1
48,1,23,0,12,52,154,s1
49,1,0,1,12,52,154,s2
50,1,1,1,12,52,154,s2
51,1,2,1,12,52,154,s2
52,1,3,1,12,52,154,s2
53,1,4,1,12,52,154,s2
54,1,5,1,12,52,154,s2
55,1,6,1,12,52,154,s2
56,1,7,1,12,52,154,s2
57,1,8,1,12,52,154,s2
58,1,9,1,12,52,154,s2
59,1,10,1,12,52,154,s2
60,1,11,1,12,52,154,s2
61,1,12,1,12,52,154,s2
62,1,13,1,12,52,154,s2
63,1,14,1,12,52,154,s2
64,1,15,1,12,52,154,s2
65,1,16,1,12,52,154,s2
66,1,17,1,12,52,154,s2
